t,step,exp,tea,tra,trl,trw
20190425 11:51:17,0,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.0651,0.0,0.0359,0.0001
20190425 11:51:23,500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.7117,0.8375,0.3758,0.7132
20190425 11:51:29,1000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.7192,0.895,0.2607,0.7816
20190425 11:51:35,1500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.7081,0.9425,0.1589,0.8288
20190425 11:51:41,2000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.7093,0.9425,0.1433,0.8477
20190425 11:51:49,t,step,exp,tea,tra,trl,trw
t,step,exp,tea,tra,trl,trw
20190425 11:51:58,0,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.0999,0.0,0.0392,0.0
20190425 11:51:58,0,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.0999,0.0,0.0392,0.0
20190425 11:52:04,500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6907,0.835,0.4433,0.6625
20190425 11:52:04,500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6907,0.835,0.4433,0.6625
20190425 11:52:10,1000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6734,0.93,0.2272,0.7541
20190425 11:52:10,1000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6734,0.93,0.2272,0.7541
20190425 11:52:16,1500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6502,0.92,0.2059,0.8197
20190425 11:52:16,1500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6502,0.92,0.2059,0.8197
20190425 11:52:22,2000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6910,0.9475,0.1139,0.8398
20190425 11:52:22,2000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6910,0.9475,0.1139,0.8398
20190425 11:52:28,2500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6942,0.945,0.1487,0.8405
20190425 11:52:28,2500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6942,0.945,0.1487,0.8405
20190425 11:52:34,3000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6863,0.9675,0.0767,0.8721
20190425 11:52:34,3000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6863,0.9675,0.0767,0.8721
20190425 11:52:40,3500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6726,0.9775,0.0728,0.882
20190425 11:52:40,3500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6726,0.9775,0.0728,0.882
20190425 11:52:45,4000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6941,0.99,0.0375,0.9059
20190425 11:52:45,4000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6941,0.99,0.0375,0.9059
20190425 11:52:51,4500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6908,0.99,0.0321,0.905
20190425 11:52:51,4500,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6908,0.99,0.0321,0.905
20190425 11:52:57,5000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6978,0.98,0.0666,0.8991
20190425 11:52:57,5000,data.path-mnist_data_num.labeled-100_batch.size-8_wt-0.0005_std-0.3_lr-0.0001,0.6978,0.98,0.0666,0.8991
